SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	September 09, 2020	September 08, 2020	September 03, 2020	September 02, 2020	September 01, 2020
Chinese yuan	0.1036540000	0.1036950000	0.1035260000	0.1033700000	0.1030250000
Euro	0.8355730000	0.8347950000	0.8355570000	0.8369050000	0.8420560000
Japanese yen	0.0066987900	0.0066637300	0.0066583800	0.0066559200	0.0066352500
U.K. pound	0.9176190000	0.9252870000	0.9373400000	0.9429560000	0.9461270000
U.S. dollar	0.7097370000	0.7083540000	0.7073200000	0.7055940000	0.7024740000
Algerian dinar	0.0055059600	0.0055044000	0.0054986000	0.0054948500	0.0054999300
Australian dollar	0.5127850000	0.5163190000	0.5167680000	0.5193170000	0.5206740000
Botswana pula	0.0611793000	0.0616268000	0.0613246000	0.0615278000	0.0611152000
Brazilian real	0.1338670000	0.1319290000	0.1332730000	0.1313100000	0.1307510000
Brunei dollar	0.5175270000	0.5178400000	0.5191340000	0.5182480000	0.5176670000
Canadian dollar	0.5387820000	0.5369980000	0.5389930000	0.5399820000	0.5380880000
Chilean peso	0.0009138440	0.0009160860	0.0009168710	0.0009156540	0.0009047140
Colombian peso	0.0001889000	0.0001913120	0.0001935900	0.0001915670	0.0001875560
Czech koruna	0.0314991000	0.0314782000	0.0316829000	0.0317792000	0.0321028000
Danish krone	0.1123040000	0.1121930000	0.1123050000	0.1124690000	0.1131270000
Indian rupee	0.0096336400	0.0096470200	0.0096422900	0.0096640000	0.0096466600
Israeli New Shekel	0.2083170000	0.2088310000	0.2100120000	0.2096240000	0.2095060000
Korean won	0.0005974720	0.0005966590	0.0005962910	0.0005956390	0.0005936570
Kuwaiti dinar	2.3201600000	2.3164000000	2.3137700000	2.3103900000	2.3024400000
Malaysian ringgit	0.1700580000	0.1700120000	0.1707470000	0.1700430000	0.1693730000
Mauritian rupee		0.0177658000	0.0177851000	0.0177458000	0.0176643000
Mexican peso	0.0329532000	0.0326223000	0.0326883000	0.0323085000	0.0323058000
New Zealand dollar	0.4699170000	0.4738890000	0.4788560000	0.4776170000	0.4747320000
Norwegian krone	0.0779819000	0.0782279000	0.0793387000	0.0804252000	0.0806737000
Omani rial	1.8458700000	1.8422700000	1.8395800000	1.8350900000	1.8269800000
Peruvian sol		0.1999870000	0.1999210000	0.1999420000	0.1991700000
Philippine peso	0.0145958000	0.0145704000	0.0145566000	0.0145555000	0.0144891000
Polish zloty	0.1874090000	0.1881320000	0.1894420000	0.1897220000	0.1913730000
Qatari riyal	0.1949830000	0.1946030000	0.1943190000	0.1938450000	0.1929870000
Russian ruble	0.0093298900	0.0093248000	0.0093724500	0.0095532800	0.0095464400
Saudi Arabian riyal	0.1892630000	0.1888940000	0.1886190000	0.1881580000	0.1873260000
Singapore dollar	0.5175270000	0.5178400000	0.5191340000	0.5182480000	0.5176670000
South African rand	0.0423342000	0.0423629000	0.0421855000	0.0420568000	0.0421653000
Swedish krona	0.0804362000	0.0807305000	0.0809874000	0.0810376000	0.0815020000
Swiss franc	0.7724190000	0.7721740000	0.7758680000	0.7749950000	0.7769440000
Thai baht	0.0226088000	0.0225547000	0.0225685000	0.0225913000	0.0226685000
Trinidadian dollar		0.1049650000	0.1051730000	0.1050380000	0.1044960000
U.A.E. dirham	0.1932570000	0.1928810000	0.1925990000	0.1921290000	0.1912800000
Uruguayan peso	0.0166918000	0.0166444000	0.0166065000	0.0165349000	0.0165280000

Currency units per SDR(3)

Currency	September 09, 2020	September 08, 2020	September 03, 2020	September 02, 2020	September 01, 2020
Chinese yuan	9.647480	9.643670	9.659410	9.673990	9.706380
Euro	1.196780	1.197900	1.196810	1.194880	1.187570
Japanese yen	149.281000	150.066000	150.187000	150.242000	150.710000
U.K. pound	1.089780	1.080750	1.066850	1.060490	1.056940
U.S. dollar	1.408970	1.411720	1.413790	1.417250	1.423540
Algerian dinar	181.621000	181.673000	181.864000	181.989000	181.820000
Australian dollar	1.950140	1.936790	1.935100	1.925610	1.920590
Botswana pula	16.345400	16.226700	16.306700	16.252800	16.362500
Brazilian real	7.470100	7.579830	7.503400	7.615570	7.648130
Brunei dollar	1.932270	1.931100	1.926280	1.929580	1.931740
Canadian dollar	1.856040	1.862200	1.855310	1.851910	1.858430
Chilean peso	1,094.280000	1,091.600000	1,090.670000	1,092.120000	1,105.320000
Colombian peso	5,293.810000	5,227.060000	5,165.560000	5,220.110000	5,331.740000
Czech koruna	31.746900	31.768000	31.562800	31.467100	31.149900
Danish krone	8.904400	8.913210	8.904320	8.891340	8.839620
Indian rupee	103.803000	103.659000	103.710000	103.477000	103.663000
Israeli New Shekel	4.800380	4.788560	4.761630	4.770450	4.773130
Korean won	1,673.720000	1,676.000000	1,677.030000	1,678.870000	1,684.470000
Kuwaiti dinar	0.431005	0.431704	0.432195	0.432827	0.434322
Malaysian ringgit	5.880350	5.881940	5.856620	5.880870	5.904130
Mauritian rupee		56.287900	56.226800	56.351400	56.611400
Mexican peso	30.346100	30.653900	30.592000	30.951600	30.954200
New Zealand dollar	2.128040	2.110200	2.088310	2.093730	2.106450
Norwegian krone	12.823500	12.783200	12.604200	12.433900	12.395600
Omani rial	0.541750	0.542809	0.543602	0.544932	0.547351
Peruvian sol		5.000330	5.001980	5.001450	5.020840
Philippine peso	68.512900	68.632300	68.697400	68.702600	69.017400
Polish zloty	5.335920	5.315420	5.278660	5.270870	5.225400
Qatari riyal	5.128650	5.138670	5.146180	5.158760	5.181700
Russian ruble	107.182000	107.241000	106.696000	104.676000	104.751000
Saudi Arabian riyal	5.283650	5.293970	5.301690	5.314680	5.338290
Singapore dollar	1.932270	1.931100	1.926280	1.929580	1.931740
South African rand	23.621600	23.605600	23.704800	23.777400	23.716200
Swedish krona	12.432200	12.386900	12.347600	12.340000	12.269600
Swiss franc	1.294630	1.295040	1.288880	1.290330	1.287090
Thai baht	44.230600	44.336700	44.309500	44.264800	44.114100
Trinidadian dollar		9.526990	9.508140	9.520360	9.569740
U.A.E. dirham	5.174460	5.184540	5.192130	5.204840	5.227940
Uruguayan peso	59.909700	60.080300	60.217400	60.478100	60.503400


(1) Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.

(2) The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.The value in terms of the SDR of each of the other currencies shown above is derived from that currency's representative exchange rate against the U.S. dollar as reported by the issuing central bank and the SDR value of the U.S. dollar, except for the Iranian rial and the Libyan dinar, the values of which are officially expressed directly in terms of domestic currency units per SDR. All figures are rounded to six significant digits. See Representative Exchange Rates for Selected Currencies".

