SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	November 25, 2019	November 22, 2019	November 21, 2019	November 20, 2019	November 19, 2019
Chinese yuan		0.1033680000	0.1031880000	0.1034320000	0.1034130000
Euro		0.8040880000	0.8055950000	0.8041860000	0.8048110000
Japanese yen		0.0066920200	0.0066957000	0.0067021000	0.0066945500
U.K. pound		0.9364300000	0.9407320000	0.9377690000	0.9400600000
U.S. dollar		0.7271550000	0.7263500000	0.7271780000	0.7265600000
Algerian dinar		0.0060656000	0.0060615500	0.0060674000	0.0060635600
Australian dollar		0.4935930000	0.4937000000	0.4957170000	0.4939150000
Botswana pula		0.0669710000	0.0668242000	0.0668277000	0.0667709000
Brazilian real		0.1738520000	0.1729160000	0.1730260000	0.1726700000
Brunei dollar		0.5337310000	0.5331010000	0.5341400000	0.5338040000
Canadian dollar		0.5472680000	0.5467440000	0.5465860000	0.5488860000
Chilean peso		0.0009144990	0.0009111610	0.0009290520	0.0009389380
Colombian peso		0.0002113420	0.0002107840	0.0002117280	0.0002107350
Czech koruna		0.0315209000	0.0315667000	0.0314809000	0.0314787000
Danish krone		0.1076040000	0.1077970000	0.1076110000	0.1077090000
Indian rupee		0.0101203000	0.0101164000	0.0101454000	0.0101173000
Israeli New Shekel		0.2101600000	0.2102320000	0.2095010000	0.2101710000
Korean won		0.0006180660	0.0006207590	0.0006222640	0.0006239240
Kuwaiti dinar			2.3936400000	2.3963700000	2.3943300000
Malaysian ringgit		0.1744610000	0.1740390000	0.1748440000	0.1746120000
Mauritian rupee		0.0198748000	0.0198688000	0.0198958000	
Mexican peso		0.0374847000	0.0374141000	0.0373295000	0.0375121000
New Zealand dollar		0.4657430000	0.4652270000	0.4673570000	0.4643440000
Norwegian krone		0.0795470000	0.0797477000	0.0792651000	0.0798005000
Omani rial			1.8890800000	1.8912300000	
Peruvian sol		0.2150070000	0.2152150000	0.2148870000	0.2152130000
Philippine peso		0.0142700000	0.0142536000	0.0143134000	0.0143538000
Polish zloty		0.1871550000	0.1875080000	0.1874560000	0.1873250000
Qatari riyal			0.1995470000	0.1997740000	0.1996040000
Russian ruble		0.0114135000	0.0113771000	0.0113584000	0.0113929000
Saudi Arabian riyal			0.1936930000	0.1939140000	0.1937490000
Singapore dollar		0.5337310000	0.5331010000	0.5341400000	0.5338040000
South African rand		0.0494931000	0.0493595000	0.0490392000	0.0492336000
Swedish krona		0.0757619000	0.0753811000	0.0749861000	0.0754828000
Swiss franc		0.7317280000	0.7327990000	0.7328210000	0.7329000000
Thai baht		0.0240716000	0.0240513000	0.0240907000	0.0240702000
Trinidadian dollar		0.1076870000	0.1078440000	0.1078200000	0.1076900000
U.A.E. dirham			0.1977810000	0.1980060000	0.1978380000
Uruguayan peso		0.0192522000	0.0192446000	0.0192998000	0.0192947000

Currency units per SDR(3)

Currency	November 25, 2019	November 22, 2019	November 21, 2019	November 20, 2019	November 19, 2019
Chinese yuan		9.674170	9.691050	9.668190	9.669960
Euro		1.243640	1.241320	1.243490	1.242530
Japanese yen		149.432000	149.350000	149.207000	149.375000
U.K. pound		1.067890	1.063000	1.066360	1.063760
U.S. dollar		1.375220	1.376750	1.375180	1.376350
Algerian dinar		164.864000	164.974000	164.815000	164.920000
Australian dollar		2.025960	2.025520	2.017280	2.024640
Botswana pula		14.931800	14.964600	14.963900	14.976600
Brazilian real		5.752020	5.783150	5.779480	5.791390
Brunei dollar		1.873600	1.875820	1.872170	1.873350
Canadian dollar		1.827260	1.829010	1.829540	1.821870
Chilean peso		1,093.490000	1,097.500000	1,076.370000	1,065.030000
Colombian peso		4,731.670000	4,744.190000	4,723.040000	4,745.300000
Czech koruna		31.725000	31.679000	31.765300	31.767500
Danish krone		9.293330	9.276700	9.292730	9.284280
Indian rupee		98.811300	98.849400	98.566800	98.840600
Israeli New Shekel		4.758280	4.756650	4.773250	4.758030
Korean won		1,617.950000	1,610.930000	1,607.030000	1,602.760000
Kuwaiti dinar			0.417774	0.417298	0.417653
Malaysian ringgit		5.731940	5.745840	5.719380	5.726980
Mauritian rupee		50.315000	50.330200	50.261900	
Mexican peso		26.677600	26.727900	26.788500	26.658100
New Zealand dollar		2.147110	2.149490	2.139690	2.153580
Norwegian krone		12.571200	12.539500	12.615900	12.531200
Omani rial			0.529358	0.528756	
Peruvian sol		4.651010	4.646520	4.653610	4.646560
Philippine peso		70.077100	70.157700	69.864600	69.668000
Polish zloty		5.343160	5.333110	5.334590	5.338320
Qatari riyal			5.011350	5.005660	5.009920
Russian ruble		87.615500	87.895900	88.040600	87.774000
Saudi Arabian riyal			5.162810	5.156930	5.161320
Singapore dollar		1.873600	1.875820	1.872170	1.873350
South African rand		20.204800	20.259500	20.391800	20.311300
Swedish krona		13.199200	13.265900	13.335800	13.248100
Swiss franc		1.366630	1.364630	1.364590	1.364440
Thai baht		41.542700	41.577800	41.509800	41.545100
Trinidadian dollar		9.286170	9.272650	9.274720	9.285910
U.A.E. dirham			5.056100	5.050350	5.054640
Uruguayan peso		51.942100	51.962600	51.814000	51.827700


(1) Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.

(2) The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.The value in terms of the SDR of each of the other currencies shown above is derived from that currency's representative exchange rate against the U.S. dollar as reported by the issuing central bank and the SDR value of the U.S. dollar, except for the Iranian rial and the Libyan dinar, the values of which are officially expressed directly in terms of domestic currency units per SDR. All figures are rounded to six significant digits. See Representative Exchange Rates for Selected Currencies".

(3) The value in terms of each national currency of the SDR is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.
